month,business_unit,total_cost,is_prediction
2025-10,Data Engineering - COGS,930.547619047619,True
2025-11,Data Engineering - COGS,948.7380952380952,True
2025-12,Data Engineering - COGS,966.9285714285714,True
2025-01,Security_COGS,18081.0,False
2025-02,Security_COGS,17487.0,False
2025-03,Security_COGS,17455.0,False
2025-04,Security_COGS,16878.0,False
2025-05,Security_COGS,16017.0,False
2025-06,Security_COGS,15769.0,False
2025-07,Security_COGS,14806.0,False
2025-08,Security_COGS,14642.0,False
2025-09,Security_COGS,14067.035714285717,True
2025-10,Security_COGS,13550.404761904763,True
2025-11,Security_COGS,13033.773809523813,True
2025-12,Security_COGS,12517.14285714286,True
2025-01,Engineering-Linking & Integration COGS,10686.0,False
2025-02,Engineering-Linking & Integration COGS,11606.0,False
2025-03,Engineering-Linking & Integration COGS,12473.0,False
2025-04,Engineering-Linking & Integration COGS,9177.0,False
2025-05,Engineering-Linking & Integration COGS,9173.0,False
2025-06,Engineering-Linking & Integration COGS,9775.0,False
2025-07,Engineering-Linking & Integration COGS,13371.0,False
2025-08,Engineering-Linking & Integration COGS,14068.0,False
2025-09,Engineering-Linking & Integration COGS,14136.437196826653,True
2025-10,Engineering-Linking & Integration COGS,14790.79224943034,True
2025-11,Engineering-Linking & Integration COGS,15445.147302034027,True
2025-12,Engineering-Linking & Integration COGS,16099.502354637712,True
2025-01,COGS General,8.0,False
2025-02,COGS General,4.0,False
2025-03,COGS General,7.0,False
2025-04,COGS General,17.0,False
2025-05,COGS General,11.0,False
2025-08,COGS General,36.0,False
2025-09,COGS General,30.93333333333332,True
2025-10,COGS General,35.8190476190476,True
2025-11,COGS General,40.70476190476189,True
2025-12,COGS General,45.590476190476174,True
2025-01,Infrastructure Svcs - JPD COGS,1382.0,False
2025-02,Infrastructure Svcs - JPD COGS,1217.0,False
2025-03,Infrastructure Svcs - JPD COGS,1247.0,False
2025-04,Infrastructure Svcs - JPD COGS,1225.0,False
2025-05,Infrastructure Svcs - JPD COGS,1257.0,False
2025-06,Infrastructure Svcs - JPD COGS,1245.0,False
2025-07,Infrastructure Svcs - JPD COGS,1324.0,False
2025-08,Infrastructure Svcs - JPD COGS,1391.0,False
2025-09,Infrastructure Svcs - JPD COGS,931.3002405494449,True
2025-10,Infrastructure Svcs - JPD COGS,833.1838125904399,True
2025-11,Infrastructure Svcs - JPD COGS,735.0673846314348,True
2025-12,Infrastructure Svcs - JPD COGS,636.9509566724298,True
2025-01,Halp_COGs,2082.0,False
2025-02,Halp_COGs,1758.0,False
2025-03,Halp_COGs,1440.0,False
2025-04,Halp_COGs,814.0,False
2025-05,Halp_COGs,182.0,False
2025-06,Halp_COGs,186.0,False
2025-07,Halp_COGs,193.0,False
2025-08,Halp_COGs,185.0,False
2025-09,Halp_COGs,0.0,True
2025-10,Halp_COGs,0.0,True
2025-11,Halp_COGs,0.0,True
2025-12,Halp_COGs,0.0,True
2025-02,Infrastructure Svcs-Loom,885894.0,False
2025-03,Infrastructure Svcs-Loom,925346.0,False
2025-04,Infrastructure Svcs-Loom,825476.0,False
2025-05,Infrastructure Svcs-Loom,949971.0,False
2025-06,Infrastructure Svcs-Loom,924883.0,False
2025-07,Infrastructure Svcs-Loom,975204.0,False
2025-08,Infrastructure Svcs-Loom,942575.0,False
2025-09,Infrastructure Svcs-Loom,1031716.4915003951,True
2025-10,Infrastructure Svcs-Loom,1061345.3907927566,True
2025-11,Infrastructure Svcs-Loom,1090974.290085118,True
